payment_id,customer_id,order_id,amount,created_at,status,method,email,phone,vpa,scenario
pay_900142,cust_00157,order_700142,99999,1787588103,captured,wallet,customer_157@razorpay-demo.com,+919870000157,,legitimate
pay_901558,cust_00019,order_701129,249999,1787528929,captured,netbanking,customer_19@razorpay-demo.com,+919870000019,,Network Timeout Retry
pay_900486,cust_00107,order_700486,49999,1787599339,captured,upi,customer_107@razorpay-demo.com,+919870000107,cust107@okaxis,legitimate
pay_901713,cust_00035,order_701207,49999,1787661654,captured,upi,customer_35@razorpay-demo.com,+919870000035,cust35@okaxis,Failed UPI Retry
pay_902251,cust_00134,order_701501,34999,1787556784,captured,wallet,customer_134@razorpay-demo.com,+919870000134,,Multiple Browser Tabs Checkout
pay_901458,cust_00068,order_701079,7499,1787623528,captured,wallet,customer_68@razorpay-demo.com,+919870000068,,Network Timeout Retry
pay_901134,cust_00028,order_700917,14999,1787620257,captured,netbanking,customer_28@razorpay-demo.com,+919870000028,,Double-Click Issue
pay_902712,cust_00034,order_701962,7499,1787638210,captured,netbanking,customer_34@razorpay-demo.com,+919870000034,,Gateway Retry with Different IDs
pay_900555,cust_00093,order_700555,149999,1787539065,captured,card,customer_93@razorpay-demo.com,+919870000093,,legitimate
pay_901994,cust_00084,order_701347,34999,1787626932,captured,upi,customer_84@razorpay-demo.com,+919870000084,cust84@okaxis,Failed UPI Retry
pay_901103,cust_00158,order_700902,299999,1787681138,captured,upi,customer_158@razorpay-demo.com,+919870000158,cust158@okaxis,Double-Click Issue
pay_900437,cust_00147,order_700437,12499,1787712698,captured,card,customer_147@razorpay-demo.com,+919870000147,,legitimate
pay_901226,cust_00006,order_700963,12499,1787537572,captured,card,customer_6@razorpay-demo.com,+919870000006,,Network Timeout Retry
pay_900679,cust_00004,order_700679,4999,1787543675,captured,upi,customer_4@razorpay-demo.com,+919870000004,cust4@okaxis,legitimate
pay_901615,cust_00057,order_701158,9999,1787631845,captured,card,customer_57@razorpay-demo.com,+919870000057,,Network Timeout Retry
pay_901049,cust_00164,order_700875,19999,1787646903,captured,card,customer_164@razorpay-demo.com,+919870000164,,Double-Click Issue
pay_900863,cust_00007,order_700782,99999,1787687804,captured,wallet,customer_7@razorpay-demo.com,+919870000007,,Double-Click Issue
pay_902866,cust_00012,order_702116,199999,1787670379,captured,netbanking,customer_12@razorpay-demo.com,+919870000012,,Gateway Retry with Different IDs
