payment_id,customer_id,order_id,amount,created_at,status,method,email,phone,notes
pay_100362,cust_00028,order_200362,199.14,1787442731,failed,netbanking,buyer_28@example.com,+919876000028,Merchant Order #200362
pay_100074,cust_00043,order_200074,299.81,1787632221,captured,upi,buyer_43@example.com,+919876000043,Merchant Order #200074
pay_100375,cust_00049,order_200375,9999.53,1787474812,captured,netbanking,buyer_49@example.com,+919876000049,Merchant Order #200375
pay_100156,cust_00037,order_200156,999.74,1787764215,captured,wallet,buyer_37@example.com,+919876000037,Merchant Order #200156
pay_100105,cust_00076,order_200105,1499.32,1787700449,captured,upi,buyer_76@example.com,+919876000076,Merchant Order #200105
pay_100395,cust_00070,order_200395,199.18,1787348338,captured,netbanking,buyer_70@example.com,+919876000070,Merchant Order #200395
pay_100378,cust_00019,order_200378,199.26,1787469097,captured,wallet,buyer_19@example.com,+919876000019,Merchant Order #200378
pay_100125,cust_00061,order_200125,1499.03,1787646978,captured,netbanking,buyer_61@example.com,+919876000061,Merchant Order #200125
pay_100069,cust_00040,order_200069,4999.32,1787581080,captured,netbanking,buyer_40@example.com,+919876000040,Merchant Order #200069
pay_100451,cust_00054,order_200426,15000.0,1787357456,captured,upi,buyer_54@example.com,+919876000054,UPI transaction - Failed UPI Retry
pay_100010,cust_00047,order_200010,499.37,1787631089,captured,upi,buyer_47@example.com,+919876000047,Merchant Order #200010
pay_100195,cust_00059,order_200195,15000.6,1787684191,captured,card,buyer_59@example.com,+919876000059,Merchant Order #200195
pay_100407,cust_00095,order_200404,4999.0,1787497396,captured,netbanking,buyer_95@example.com,+919876000095,Checkout click A - Double-Click Issue
pay_100085,cust_00020,order_200085,999.38,1787646747,captured,upi,buyer_20@example.com,+919876000020,Merchant Order #200085
pay_100372,cust_00098,order_200372,15000.21,1787717186,captured,upi,buyer_98@example.com,+919876000098,Merchant Order #200372
pay_100389,cust_00051,order_200389,299.37,1787539861,captured,wallet,buyer_51@example.com,+919876000051,Merchant Order #200389
pay_100496,cust_00080,order_200466,499.0,1787738491,captured,netbanking,buyer_80@example.com,+919876000080,Gateway Success Attempt B - Gateway Retry with Different IDs
pay_100031,cust_00008,order_200031,999.07,1787712936,captured,card,buyer_8@example.com,+919876000008,Merchant Order #200031
pay_100317,cust_00015,order_200317,999.02,1787522487,captured,netbanking,buyer_15@example.com,+919876000015,Merchant Order #200317
pay_100409,cust_00001,order_200405,1499.0,1787497058,captured,wallet,buyer_1@example.com,+919876000001,Checkout click A - Double-Click Issue
pay_100491,cust_00034,order_200461,9999.0,1787599465,failed,netbanking,buyer_34@example.com,+919876000034,Gateway Error Attempt A - Gateway Retry with Different IDs
pay_100492,cust_00034,order_200462,9999.0,1787599514,captured,netbanking,buyer_34@example.com,+919876000034,Gateway Success Attempt B - Gateway Retry with Different IDs
pay_100281,cust_00041,order_200281,2499.7,1787726629,failed,netbanking,buyer_41@example.com,+919876000041,Merchant Order #200281
pay_100357,cust_00001,order_200357,199.97,1787632525,captured,wallet,buyer_1@example.com,+919876000001,Merchant Order #200357
pay_100077,cust_00052,order_200077,999.15,1787727203,failed,card,buyer_52@example.com,+919876000052,Merchant Order #200077
pay_100462,cust_00056,order_200432,299.0,1787384184,captured,card,buyer_56@example.com,+919876000056,Tab 2 Checkout - Multiple Browser Tabs Checkout
pay_100498,cust_00011,order_200468,499.0,1787392519,captured,netbanking,buyer_11@example.com,+919876000011,Gateway Success Attempt B - Gateway Retry with Different IDs
pay_100212,cust_00063,order_200212,15000.66,1787436837,refunded,card,buyer_63@example.com,+919876000063,Merchant Order #200212
pay_100102,cust_00083,order_200102,2499.01,1787696820,captured,wallet,buyer_83@example.com,+919876000083,Merchant Order #200102
pay_100335,cust_00043,order_200335,1499.45,1787725734,captured,wallet,buyer_43@example.com,+919876000043,Merchant Order #200335
pay_100476,cust_00091,order_200446,299.0,1787708427,captured,card,buyer_91@example.com,+919876000091,Tab 2 Checkout - Multiple Browser Tabs Checkout
pay_100337,cust_00083,order_200337,1499.71,1787659792,captured,card,buyer_83@example.com,+919876000083,Merchant Order #200337
pay_100441,cust_00057,order_200421,1499.0,1787700687,captured,upi,buyer_57@example.com,+919876000057,UPI transaction - Failed UPI Retry
pay_100174,cust_00034,order_200174,15000.12,1787632235,captured,netbanking,buyer_34@example.com,+919876000034,Merchant Order #200174
